Set;instance;Seed;LRCSize;MaxHCIterations;TimeLimit[s];BestFO;
2;BEP-1-2-2-2-i3;8;0.1;100;30;9;
2;BEP-1-2-2-2-i3;8;0.3;20;30;9;
2;BEP-1-2-2-2-i3;8;0.3;50;30;9;
2;BEP-1-2-2-2-i3;8;0.3;100;30;9;
2;BEP-1-2-2-2-i3;8;0.5;20;30;9;
2;BEP-1-2-2-2-i3;8;0.5;50;30;9;
2;BEP-1-2-2-2-i3;8;0.5;100;30;9;
2;BEP-1-2-2-2-i3;10;0.1;20;30;9;
2;BEP-1-2-2-2-i3;10;0.1;50;30;9;
2;BEP-1-2-2-2-i3;10;0.1;100;30;9;
2;BEP-1-2-2-2-i3;10;0.3;20;30;9;
2;BEP-1-2-2-2-i3;10;0.3;50;30;9;
2;BEP-1-2-2-2-i3;10;0.3;100;30;9;
2;BEP-1-2-2-2-i3;10;0.5;20;30;9;
2;BEP-1-2-2-2-i3;10;0.5;50;30;9;
2;BEP-1-2-2-2-i3;10;0.5;100;30;9;
2;BEP-1-2-2-2-i4;4;0.1;20;30;44;
2;BEP-1-2-2-2-i4;4;0.1;50;30;44;
2;BEP-1-2-2-2-i4;4;0.1;100;30;44;
2;BEP-1-2-2-2-i4;4;0.3;20;30;44;
2;BEP-1-2-2-2-i4;4;0.3;50;30;44;
2;BEP-1-2-2-2-i4;4;0.3;100;30;44;
2;BEP-1-2-2-2-i4;4;0.5;20;30;44;
2;BEP-1-2-2-2-i4;4;0.5;50;30;44;
2;BEP-1-2-2-2-i4;4;0.5;100;30;44;
2;BEP-1-2-2-2-i4;6;0.1;20;30;44;
2;BEP-1-2-2-2-i4;6;0.1;50;30;44;
2;BEP-1-2-2-2-i4;6;0.1;100;30;44;
2;BEP-1-2-2-2-i4;6;0.3;20;30;44;
2;BEP-1-2-2-2-i4;6;0.3;50;30;44;
2;BEP-1-2-2-2-i4;6;0.3;100;30;44;
2;BEP-1-2-2-2-i4;6;0.5;20;30;44;
2;BEP-1-2-2-2-i4;6;0.5;50;30;44;
2;BEP-1-2-2-2-i4;6;0.5;100;30;44;
2;BEP-1-2-2-2-i4;8;0.1;20;30;44;
2;BEP-1-2-2-2-i4;8;0.1;50;30;44;
2;BEP-1-2-2-2-i4;8;0.1;100;30;44;
2;BEP-1-2-2-2-i4;8;0.3;20;30;44;
2;BEP-1-2-2-2-i4;8;0.3;50;30;44;
2;BEP-1-2-2-2-i4;8;0.3;100;30;44;
2;BEP-1-2-2-2-i4;8;0.5;20;30;44;
2;BEP-1-2-2-2-i4;8;0.5;50;30;44;
2;BEP-1-2-2-2-i4;8;0.5;100;30;44;
2;BEP-1-2-2-2-i4;10;0.1;20;30;44;
2;BEP-1-2-2-2-i4;10;0.1;50;30;44;
2;BEP-1-2-2-2-i4;10;0.1;100;30;44;
2;BEP-1-2-2-2-i4;10;0.3;20;30;44;
2;BEP-1-2-2-2-i4;10;0.3;50;30;44;
2;BEP-1-2-2-2-i4;10;0.3;100;30;44;
2;BEP-1-2-2-2-i4;10;0.5;20;30;44;
2;BEP-1-2-2-2-i4;10;0.5;50;30;44;
2;BEP-1-2-2-2-i4;10;0.5;100;30;44;
2;BEP-1-2-2-2-i5;4;0.1;20;30;29;
2;BEP-1-2-2-2-i5;4;0.1;50;30;29;
2;BEP-1-2-2-2-i5;4;0.1;100;30;29;
2;BEP-1-2-2-2-i5;4;0.3;20;30;29;
2;BEP-1-2-2-2-i5;4;0.3;50;30;29;
2;BEP-1-2-2-2-i5;4;0.3;100;30;29;
2;BEP-1-2-2-2-i5;4;0.5;20;30;29;
2;BEP-1-2-2-2-i5;4;0.5;50;30;29;
2;BEP-1-2-2-2-i5;4;0.5;100;30;29;
2;BEP-1-2-2-2-i5;6;0.1;20;30;29;
2;BEP-1-2-2-2-i5;6;0.1;50;30;29;
2;BEP-1-2-2-2-i5;6;0.1;100;30;29;
2;BEP-1-2-2-2-i5;6;0.3;20;30;29;
2;BEP-1-2-2-2-i5;6;0.3;50;30;29;
2;BEP-1-2-2-2-i5;6;0.3;100;30;29;
2;BEP-1-2-2-2-i5;6;0.5;20;30;29;
2;BEP-1-2-2-2-i5;6;0.5;50;30;29;
2;BEP-1-2-2-2-i5;6;0.5;100;30;29;
2;BEP-1-2-2-2-i5;8;0.1;20;30;29;
2;BEP-1-2-2-2-i5;8;0.1;50;30;29;
2;BEP-1-2-2-2-i5;8;0.1;100;30;29;
2;BEP-1-2-2-2-i5;8;0.3;20;30;29;
2;BEP-1-2-2-2-i5;8;0.3;50;30;29;
2;BEP-1-2-2-2-i5;8;0.3;100;30;29;
2;BEP-1-2-2-2-i5;8;0.5;20;30;29;
2;BEP-1-2-2-2-i5;8;0.5;50;30;29;
2;BEP-1-2-2-2-i5;8;0.5;100;30;29;
2;BEP-1-2-2-2-i5;10;0.1;20;30;29;
2;BEP-1-2-2-2-i5;10;0.1;50;30;29;
2;BEP-1-2-2-2-i5;10;0.1;100;30;29;
2;BEP-1-2-2-2-i5;10;0.3;20;30;29;
2;BEP-1-2-2-2-i5;10;0.3;50;30;29;
2;BEP-1-2-2-2-i5;10;0.3;100;30;29;
2;BEP-1-2-2-2-i5;10;0.5;20;30;29;
2;BEP-1-2-2-2-i5;10;0.5;50;30;29;
2;BEP-1-2-2-2-i5;10;0.5;100;30;29;
2;BEP-1-2-2-2-i6;4;0.1;20;30;44;
2;BEP-1-2-2-2-i6;4;0.1;50;30;44;
2;BEP-1-2-2-2-i6;4;0.1;100;30;44;
2;BEP-1-2-2-2-i6;4;0.3;20;30;44;
2;BEP-1-2-2-2-i6;4;0.3;50;30;44;
2;BEP-1-2-2-2-i6;4;0.3;100;30;44;
2;BEP-1-2-2-2-i6;4;0.5;20;30;44;
2;BEP-1-2-2-2-i6;4;0.5;50;30;44;
2;BEP-1-2-2-2-i6;4;0.5;100;30;44;
2;BEP-1-2-2-2-i6;6;0.1;20;30;44;
2;BEP-1-2-2-2-i6;6;0.1;50;30;44;
2;BEP-1-2-2-2-i6;6;0.1;100;30;44;
2;BEP-1-2-2-2-i6;6;0.3;20;30;44;
2;BEP-1-2-2-2-i6;6;0.3;50;30;44;
2;BEP-1-2-2-2-i6;6;0.3;100;30;44;
2;BEP-1-2-2-2-i6;6;0.5;20;30;44;
2;BEP-1-2-2-2-i6;6;0.5;50;30;44;
2;BEP-1-2-2-2-i6;6;0.5;100;30;44;
2;BEP-1-2-2-2-i6;8;0.1;20;30;44;
2;BEP-1-2-2-2-i6;8;0.1;50;30;44;
2;BEP-1-2-2-2-i6;8;0.1;100;30;44;
2;BEP-1-2-2-2-i6;8;0.3;20;30;44;
2;BEP-1-2-2-2-i6;8;0.3;50;30;44;
2;BEP-1-2-2-2-i6;8;0.3;100;30;44;
2;BEP-1-2-2-2-i6;8;0.5;20;30;44;
2;BEP-1-2-2-2-i6;8;0.5;50;30;44;
2;BEP-1-2-2-2-i6;8;0.5;100;30;44;
2;BEP-1-2-2-2-i6;10;0.1;20;30;44;
2;BEP-1-2-2-2-i6;10;0.1;50;30;44;
2;BEP-1-2-2-2-i6;10;0.1;100;30;44;
2;BEP-1-2-2-2-i6;10;0.3;20;30;44;
2;BEP-1-2-2-2-i6;10;0.3;50;30;44;
2;BEP-1-2-2-2-i6;10;0.3;100;30;44;
2;BEP-1-2-2-2-i6;10;0.5;20;30;44;
2;BEP-1-2-2-2-i6;10;0.5;50;30;44;
2;BEP-1-2-2-2-i6;10;0.5;100;30;44;
2;BEP-1-2-2-2-i7;4;0.1;20;30;18;
2;BEP-1-2-2-2-i7;4;0.1;50;30;18;
2;BEP-1-2-2-2-i7;4;0.1;100;30;18;
2;BEP-1-2-2-2-i7;4;0.3;20;30;18;
2;BEP-1-2-2-2-i7;4;0.3;50;30;18;
2;BEP-1-2-2-2-i7;4;0.3;100;30;18;
2;BEP-1-2-2-2-i7;4;0.5;20;30;18;
2;BEP-1-2-2-2-i7;4;0.5;50;30;18;
2;BEP-1-2-2-2-i7;4;0.5;100;30;18;
2;BEP-1-2-2-2-i7;6;0.1;20;30;18;
2;BEP-1-2-2-2-i7;6;0.1;50;30;18;
2;BEP-1-2-2-2-i7;6;0.1;100;30;18;
2;BEP-1-2-2-2-i7;6;0.3;20;30;18;
2;BEP-1-2-2-2-i7;6;0.3;50;30;18;
2;BEP-1-2-2-2-i7;6;0.3;100;30;18;
2;BEP-1-2-2-2-i7;6;0.5;20;30;18;
2;BEP-1-2-2-2-i7;6;0.5;50;30;18;
2;BEP-1-2-2-2-i7;6;0.5;100;30;18;
2;BEP-1-2-2-2-i7;8;0.1;20;30;18;
2;BEP-1-2-2-2-i7;8;0.1;50;30;18;
2;BEP-1-2-2-2-i7;8;0.1;100;30;18;
2;BEP-1-2-2-2-i7;8;0.3;20;30;18;
2;BEP-1-2-2-2-i7;8;0.3;50;30;18;
2;BEP-1-2-2-2-i7;8;0.3;100;30;18;
2;BEP-1-2-2-2-i7;8;0.5;20;30;18;
2;BEP-1-2-2-2-i7;8;0.5;50;30;18;
2;BEP-1-2-2-2-i7;8;0.5;100;30;18;
2;BEP-1-2-2-2-i7;10;0.1;20;30;18;
2;BEP-1-2-2-2-i7;10;0.1;50;30;18;
2;BEP-1-2-2-2-i7;10;0.1;100;30;18;
2;BEP-1-2-2-2-i7;10;0.3;20;30;18;
2;BEP-1-2-2-2-i7;10;0.3;50;30;18;
2;BEP-1-2-2-2-i7;10;0.3;100;30;18;
2;BEP-1-2-2-2-i7;10;0.5;20;30;18;
2;BEP-1-2-2-2-i7;10;0.5;50;30;18;
2;BEP-1-2-2-2-i7;10;0.5;100;30;18;
2;BEP-1-2-2-2-i8;4;0.1;20;30;16;
2;BEP-1-2-2-2-i8;4;0.1;50;30;16;
2;BEP-1-2-2-2-i8;4;0.1;100;30;16;
2;BEP-1-2-2-2-i8;4;0.3;20;30;16;
2;BEP-1-2-2-2-i8;4;0.3;50;30;16;
2;BEP-1-2-2-2-i8;4;0.3;100;30;16;
2;BEP-1-2-2-2-i8;4;0.5;20;30;16;
2;BEP-1-2-2-2-i8;4;0.5;50;30;16;
2;BEP-1-2-2-2-i8;4;0.5;100;30;16;
2;BEP-1-2-2-2-i8;6;0.1;20;30;16;
2;BEP-1-2-2-2-i8;6;0.1;50;30;16;
2;BEP-1-2-2-2-i8;6;0.1;100;30;16;
2;BEP-1-2-2-2-i8;6;0.3;20;30;16;
2;BEP-1-2-2-2-i8;6;0.3;50;30;16;
2;BEP-1-2-2-2-i8;6;0.3;100;30;16;
2;BEP-1-2-2-2-i8;6;0.5;20;30;16;
2;BEP-1-2-2-2-i8;6;0.5;50;30;16;
2;BEP-1-2-2-2-i8;6;0.5;100;30;16;
2;BEP-1-2-2-2-i8;8;0.1;20;30;16;
2;BEP-1-2-2-2-i8;8;0.1;50;30;16;
2;BEP-1-2-2-2-i8;8;0.1;100;30;16;
2;BEP-1-2-2-2-i8;8;0.3;20;30;16;
2;BEP-1-2-2-2-i8;8;0.3;50;30;16;
2;BEP-1-2-2-2-i8;8;0.3;100;30;16;
2;BEP-1-2-2-2-i8;8;0.5;20;30;16;
2;BEP-1-2-2-2-i8;8;0.5;50;30;16;
2;BEP-1-2-2-2-i8;8;0.5;100;30;16;
2;BEP-1-2-2-2-i8;10;0.1;20;30;16;
2;BEP-1-2-2-2-i8;10;0.1;50;30;16;
2;BEP-1-2-2-2-i8;10;0.1;100;30;16;
2;BEP-1-2-2-2-i8;10;0.3;20;30;16;
2;BEP-1-2-2-2-i8;10;0.3;50;30;16;
2;BEP-1-2-2-2-i8;10;0.3;100;30;16;
2;BEP-1-2-2-2-i8;10;0.5;20;30;16;
2;BEP-1-2-2-2-i8;10;0.5;50;30;16;
2;BEP-1-2-2-2-i8;10;0.5;100;30;16;
2;BEP-1-2-2-2-i9;4;0.1;20;30;12;
2;BEP-1-2-2-2-i9;4;0.1;50;30;12;
2;BEP-1-2-2-2-i9;4;0.1;100;30;12;
2;BEP-1-2-2-2-i9;4;0.3;20;30;12;
2;BEP-1-2-2-2-i9;4;0.3;50;30;12;
2;BEP-1-2-2-2-i9;4;0.3;100;30;12;
2;BEP-1-2-2-2-i9;4;0.5;20;30;12;
2;BEP-1-2-2-2-i9;4;0.5;50;30;12;
2;BEP-1-2-2-2-i9;4;0.5;100;30;12;
2;BEP-1-2-2-2-i9;6;0.1;20;30;12;
2;BEP-1-2-2-2-i9;6;0.1;50;30;12;
2;BEP-1-2-2-2-i9;6;0.1;100;30;12;
2;BEP-1-2-2-2-i9;6;0.3;20;30;12;
2;BEP-1-2-2-2-i9;6;0.3;50;30;12;
2;BEP-1-2-2-2-i9;6;0.3;100;30;12;
2;BEP-1-2-2-2-i9;6;0.5;20;30;12;
2;BEP-1-2-2-2-i9;6;0.5;50;30;12;
2;BEP-1-2-2-2-i9;6;0.5;100;30;12;
2;BEP-1-2-2-2-i9;8;0.1;20;30;12;
2;BEP-1-2-2-2-i9;8;0.1;50;30;12;
2;BEP-1-2-2-2-i9;8;0.1;100;30;12;
2;BEP-1-2-2-2-i9;8;0.3;20;30;12;
2;BEP-1-2-2-2-i9;8;0.3;50;30;12;
2;BEP-1-2-2-2-i9;8;0.3;100;30;12;
2;BEP-1-2-2-2-i9;8;0.5;20;30;12;
2;BEP-1-2-2-2-i9;8;0.5;50;30;12;
2;BEP-1-2-2-2-i9;8;0.5;100;30;12;
2;BEP-1-2-2-2-i9;10;0.1;20;30;12;
2;BEP-1-2-2-2-i9;10;0.1;50;30;12;
2;BEP-1-2-2-2-i9;10;0.1;100;30;12;
2;BEP-1-2-2-2-i9;10;0.3;20;30;12;
2;BEP-1-2-2-2-i9;10;0.3;50;30;12;
2;BEP-1-2-2-2-i9;10;0.3;100;30;12;
2;BEP-1-2-2-2-i9;10;0.5;20;30;12;
2;BEP-1-2-2-2-i9;10;0.5;50;30;12;
2;BEP-1-2-2-2-i9;10;0.5;100;30;12;
2;BEP-1-2-2-2-i10;4;0.1;20;30;38;
2;BEP-1-2-2-2-i10;4;0.1;50;30;38;
2;BEP-1-2-2-2-i10;4;0.1;100;30;38;
2;BEP-1-2-2-2-i10;4;0.3;20;30;38;
2;BEP-1-2-2-2-i10;4;0.3;50;30;38;
2;BEP-1-2-2-2-i10;4;0.3;100;30;38;
2;BEP-1-2-2-2-i10;4;0.5;20;30;38;
2;BEP-1-2-2-2-i10;4;0.5;50;30;38;
2;BEP-1-2-2-2-i10;4;0.5;100;30;38;
2;BEP-1-2-2-2-i10;6;0.1;20;30;38;
2;BEP-1-2-2-2-i10;6;0.1;50;30;38;
2;BEP-1-2-2-2-i10;6;0.1;100;30;38;
2;BEP-1-2-2-2-i10;6;0.3;20;30;38;
2;BEP-1-2-2-2-i10;6;0.3;50;30;38;
2;BEP-1-2-2-2-i10;6;0.3;100;30;38;
